"filename", "language", "SCSS", "CSS", "HTML", "JSON", "XML", "JavaScript", "comment", "blank", "total"
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/flos/taccia-lamp/_components-styles.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/flos/taccia-lamp/index.html", "HTML", 0, 0, 1551, 0, 0, 0, 31, 166, 1748
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/index.html", "HTML", 0, 0, 1542, 0, 0, 0, 31, 158, 1731
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/ligneroset/_components-styles.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/ligneroset/index.html", "HTML", 0, 0, 1474, 0, 0, 0, 31, 156, 1661
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/ligneroset/togo-sofa/_components-styles.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/products/ligneroset/togo-sofa/index.html", "HTML", 0, 0, 2013, 0, 0, 0, 39, 245, 2297
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/blockchain-accordion-studiopro.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/alessi-donzelli.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/bebitalia-donzelli.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/cassina-donzelli.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/ethnicraft-donzelli.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 1, 10
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/flos-donzelli.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 1, 7
